week_start_date,store_id,product_id,weekly_units_sold,target_next_week,holiday_promotion_flag,dominant_weather_condition,dominant_seasonality,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,year,month,quarter,week_of_year
2022-01-31,S001,P0001,1032,708.0,1,Cloudy,Summer,685.0,1142.0,706.0,804.75,225.0412925072493,2022,1,1,5
2022-02-07,S001,P0001,708,994.0,1,Rainy,Spring,1032.0,685.0,686.0,886.25,236.11632020397633,2022,2,1,6
2022-02-14,S001,P0001,994,1222.0,1,Rainy,Winter,708.0,1032.0,1142.0,891.75,230.07589327582036,2022,2,1,7
2022-02-21,S001,P0001,1222,1259.0,1,Cloudy,Spring,994.0,708.0,685.0,854.75,183.62892836732817,2022,2,1,8
2022-02-28,S001,P0001,1259,983.0,1,Snowy,Winter,1222.0,994.0,1032.0,989.0,212.2294355958507,2022,2,1,9
2022-03-07,S001,P0001,983,946.0,1,Sunny,Autumn,1259.0,1222.0,708.0,1045.75,253.83245786673277,2022,3,1,10
2022-03-14,S001,P0001,946,552.0,1,Snowy,Summer,983.0,1259.0,994.0,1114.5,146.34320391918902,2022,3,1,11
2022-03-21,S001,P0001,552,476.0,1,Snowy,Autumn,946.0,983.0,1222.0,1102.5,160.77416873780857,2022,3,1,12
2022-03-28,S001,P0001,476,936.0,1,Rainy,Summer,552.0,946.0,1259.0,935.0,291.02691742632106,2022,3,1,13
2022-04-04,S001,P0001,936,1563.0,1,Rainy,Spring,476.0,552.0,983.0,739.25,262.3755260436207,2022,4,2,14
2022-04-11,S001,P0001,1563,877.0,1,Cloudy,Spring,936.0,476.0,946.0,727.5,248.50687448573063,2022,4,2,15
2022-04-18,S001,P0001,877,1295.0,1,Rainy,Winter,1563.0,936.0,552.0,881.75,496.7939713804909,2022,4,2,16
2022-04-25,S001,P0001,1295,266.0,1,Cloudy,Spring,877.0,1563.0,476.0,963.0,449.1822198915121,2022,4,2,17
2022-05-02,S001,P0001,266,1017.0,1,Rainy,Spring,1295.0,877.0,936.0,1167.75,321.79639007712115,2022,5,2,18
2022-05-09,S001,P0001,1017,912.0,1,Sunny,Autumn,266.0,1295.0,1563.0,1000.25,565.0601000483636,2022,5,2,19
2022-05-16,S001,P0001,912,943.0,1,Sunny,Winter,1017.0,266.0,877.0,863.75,434.7193539131502,2022,5,2,20
2022-05-23,S001,P0001,943,1236.0,1,Cloudy,Spring,912.0,1017.0,1295.0,872.5,435.4266107317436,2022,5,2,21
2022-05-30,S001,P0001,1236,1426.0,1,Rainy,Spring,943.0,912.0,266.0,784.5,348.4618582666784,2022,5,2,22
2022-06-06,S001,P0001,1426,862.0,1,Rainy,Spring,1236.0,943.0,1017.0,1027.0,146.13007903919032,2022,6,2,23
2022-06-13,S001,P0001,862,1207.0,1,Snowy,Spring,1426.0,1236.0,912.0,1129.25,245.8609024089299,2022,6,2,24
2022-06-20,S001,P0001,1207,612.0,1,Snowy,Autumn,862.0,1426.0,943.0,1116.75,261.36994854037835,2022,6,2,25
