week_start_date,store_id,product_id,category,region,weekly_units_sold,weekly_units_ordered,avg_inventory_level,avg_price,avg_discount,avg_competitor_pricing,avg_demand_forecast,holiday_promotion_flag,dominant_weather_condition,dominant_seasonality,days_in_week
2022-01-03,S001,P0001,Electronics,South,706,977,210.57142857142858,60.300000000000004,12.857142857142858,58.887142857142855,102.6557142857143,1,Sunny,Winter,7
2022-01-10,S001,P0001,Furniture,East,686,1031,182.28571428571428,52.839999999999996,10.0,53.48285714285714,101.78714285714285,1,Snowy,Winter,7
2022-01-17,S001,P0001,Electronics,North,1142,1051,293.7142857142857,59.67285714285714,7.857142857142857,59.63,168.50142857142856,1,Cloudy,Spring,7
2022-01-24,S001,P0001,Furniture,South,685,740,269.0,65.42142857142856,11.428571428571429,66.24571428571429,106.82571428571428,1,Snowy,Autumn,7
2022-01-31,S001,P0001,Clothing,South,1032,870,333.57142857142856,46.08571428571429,8.571428571428571,45.11857142857143,161.12285714285716,1,Cloudy,Summer,7
2022-02-07,S001,P0001,Clothing,South,708,647,243.85714285714286,61.23285714285714,6.428571428571429,61.67142857142857,104.38000000000001,1,Rainy,Spring,7
2022-02-14,S001,P0001,Furniture,North,994,847,230.85714285714286,61.83,7.857142857142857,60.84142857142857,145.61142857142858,1,Rainy,Winter,7
2022-02-21,S001,P0001,Clothing,East,1222,875,275.42857142857144,37.28142857142858,12.857142857142858,39.94571428571429,180.16,1,Cloudy,Spring,7
2022-02-28,S001,P0001,Toys,South,1259,644,348.7142857142857,42.99571428571429,9.285714285714286,42.90714285714286,180.27285714285716,1,Snowy,Winter,7
2022-03-07,S001,P0001,Clothing,North,983,990,326.14285714285717,67.15857142857143,11.428571428571429,67.62142857142858,148.61999999999998,1,Sunny,Autumn,7
2022-03-14,S001,P0001,Electronics,South,946,704,197.85714285714286,42.097142857142856,14.285714285714286,41.44285714285714,140.0442857142857,1,Snowy,Summer,7
2022-03-21,S001,P0001,Electronics,South,552,811,210.0,64.25571428571429,7.857142857142857,64.76428571428572,85.27428571428571,1,Snowy,Autumn,7
2022-03-28,S001,P0001,Furniture,South,476,725,260.42857142857144,58.044285714285714,5.0,58.05714285714286,75.20714285714287,1,Rainy,Summer,7
2022-04-04,S001,P0001,Groceries,East,936,898,262.0,63.537142857142854,9.285714285714286,62.04,143.89285714285714,1,Rainy,Spring,7
2022-04-11,S001,P0001,Electronics,West,1563,853,344.0,74.49428571428572,10.0,75.22714285714287,224.74,1,Cloudy,Spring,7
2022-04-18,S001,P0001,Electronics,North,877,762,234.57142857142858,52.99,14.285714285714286,53.55571428571428,126.52142857142857,1,Rainy,Winter,7
2022-04-25,S001,P0001,Groceries,South,1295,658,273.85714285714283,40.480000000000004,10.0,42.35285714285715,183.57,1,Cloudy,Spring,7
2022-05-02,S001,P0001,Toys,East,266,815,249.85714285714286,45.80571428571428,13.571428571428571,47.32571428571429,42.885714285714286,1,Rainy,Spring,7
2022-05-09,S001,P0001,Toys,East,1017,761,326.0,49.80142857142857,8.571428571428571,49.42857142857143,146.3057142857143,1,Sunny,Autumn,7
2022-05-16,S001,P0001,Clothing,East,912,650,272.2857142857143,67.28428571428572,11.428571428571429,66.5657142857143,136.35714285714286,1,Sunny,Winter,7
2022-05-23,S001,P0001,Clothing,East,943,807,212.0,32.91571428571429,7.857142857142857,33.48142857142857,143.63857142857142,1,Cloudy,Spring,7
2022-05-30,S001,P0001,Clothing,West,1236,779,245.71428571428572,55.160000000000004,11.428571428571429,53.88285714285714,180.78428571428572,1,Rainy,Spring,7
2022-06-06,S001,P0001,Groceries,East,1426,619,299.0,57.778571428571425,9.285714285714286,59.402857142857144,208.59857142857143,1,Rainy,Spring,7
2022-06-13,S001,P0001,Furniture,East,862,816,256.42857142857144,62.11571428571428,12.857142857142858,61.58,130.02285714285713,1,Snowy,Spring,7
2022-06-20,S001,P0001,Electronics,North,1207,1009,335.14285714285717,48.541428571428575,9.285714285714286,47.35285714285715,176.8042857142857,1,Snowy,Autumn,7
2022-06-27,S001,P0001,Clothing,North,612,784,263.57142857142856,49.85857142857143,2.142857142857143,49.93142857142857,88.64857142857143,1,Rainy,Summer,7
2022-07-04,S001,P0001,Groceries,West,472,934,259.57142857142856,58.71142857142858,10.714285714285714,59.76,70.86142857142856,1,Snowy,Summer,7
2022-07-11,S001,P0001,Furniture,North,1079,1048,220.14285714285714,59.13714285714286,15.0,57.98428571428571,154.30857142857144,1,Cloudy,Autumn,7
2022-07-18,S001,P0001,Clothing,East,1134,735,342.14285714285717,55.597142857142856,9.285714285714286,55.99,163.48285714285717,1,Cloudy,Autumn,7
2022-07-25,S001,P0001,Groceries,North,1466,633,310.14285714285717,66.09714285714286,11.428571428571429,66.05571428571429,219.55428571428573,1,Sunny,Spring,7
2022-08-01,S001,P0001,Electronics,West,1208,768,318.0,59.714285714285715,12.857142857142858,59.807142857142864,182.09285714285716,1,Snowy,Spring,7
2022-08-08,S001,P0001,Clothing,East,1016,885,293.85714285714283,67.33142857142857,8.571428571428571,67.58714285714287,156.4085714285714,1,Cloudy,Autumn,7
2022-08-15,S001,P0001,Electronics,North,1267,559,268.85714285714283,61.848571428571425,7.142857142857143,63.59142857142857,186.52428571428572,1,Rainy,Winter,7
2022-08-22,S001,P0001,Groceries,East,807,784,294.85714285714283,55.76142857142857,8.571428571428571,56.044285714285714,118.58857142857143,1,Sunny,Winter,7
2022-08-29,S001,P0001,Clothing,West,932,666,205.71428571428572,39.332857142857144,4.285714285714286,40.07285714285714,137.8457142857143,1,Rainy,Spring,7
2022-09-05,S001,P0001,Clothing,South,1052,824,271.7142857142857,49.92857142857143,15.0,49.7,153.75714285714284,1,Cloudy,Spring,7
2022-09-12,S001,P0001,Electronics,North,1574,846,365.7142857142857,69.84714285714286,15.0,68.72857142857143,228.3842857142857,1,Cloudy,Spring,7
2022-09-19,S001,P0001,Clothing,South,1090,459,372.7142857142857,59.38285714285714,11.428571428571429,59.348571428571425,161.07571428571427,1,Cloudy,Autumn,7
2022-09-26,S001,P0001,Groceries,East,1029,712,209.42857142857142,61.48142857142857,10.714285714285714,61.79714285714285,157.1157142857143,1,Cloudy,Spring,7
2022-10-03,S001,P0001,Furniture,South,749,761,202.85714285714286,58.660000000000004,10.714285714285714,59.615714285714276,109.61428571428571,1,Rainy,Summer,7
2022-10-10,S001,P0001,Electronics,East,1123,653,231.42857142857142,63.778571428571425,10.0,64.84714285714286,165.83285714285714,1,Snowy,Summer,7
2022-10-17,S001,P0001,Furniture,East,1005,744,256.42857142857144,59.0,7.142857142857143,59.294285714285714,146.23999999999998,1,Cloudy,Spring,7
2022-10-24,S001,P0001,Toys,North,989,855,253.85714285714286,66.94428571428571,12.857142857142858,70.71285714285715,149.86999999999998,1,Cloudy,Summer,7
2022-10-31,S001,P0001,Electronics,South,1137,767,285.2857142857143,55.56428571428571,10.714285714285714,53.25857142857143,171.34142857142857,1,Cloudy,Autumn,7
